source,company_name,title,url,excerpt,published_date,scraped_at
OilPrice,Shell,Shell Sees Global LNG Demand Rising 65% by 2050 Despite Market Disruptions,https://oilprice.com/Company-News/Shell-Sees-Global-LNG-Demand-Rising-65-by-2050-Despite-Market-Disruptions.html,"Shell expects global LNG demand to reach nearly 700 million tonnes per year by 2050, up about 65% from 2025 levels, according to its latest",2026-06-30,2026-06-30T16:24:23.727125+00:00
OilPrice,Vår Energi,Vår Energi Expands Gjøa Hub With Equinor Asset Swap,https://oilprice.com/Company-News/Vr-Energi-Expands-Gja-Hub-With-Equinor-Asset-Swap.html,"Vår Energi has agreed to swap North Sea assets with Equinor, increasing its exposure to the Peon gas discovery while divesting minority stakes in the Fram field…",2026-06-30,2026-06-30T16:24:23.728210+00:00
OilPrice,Santos,Santos Signs 10-Year Deal to Supply South Australia Strategic Gas Reserve,https://oilprice.com/Company-News/Santos-Signs-10-Year-Deal-to-Supply-South-Australia-Strategic-Gas-Reserve.html,Santos has executed a long-term Gas Sale Agreement (GSA) with the South Australian Government to supply 200 petajoules (PJ) of natural gas over a decade beginning in…,2026-06-29,2026-06-30T16:24:23.728721+00:00
OilPrice,Eni,Eni Joins Vaca Muerta Venture to Advance Argentina LNG Project,https://oilprice.com/Company-News/Eni-Joins-Vaca-Muerta-Venture-to-Advance-Argentina-LNG-Project.html,"Italian energy major Eni has signed an agreement to acquire a 32% stake in three unconventional gas blocks in Argentina's Vaca Muerta shale formation, strengthening its position in…",2026-06-29,2026-06-30T16:24:23.729241+00:00
OilPrice,Aker Solutions,Aker Solutions Wins Hydropower Contract for 150 MW Tussa II Plant,https://oilprice.com/Company-News/Aker-Solutions-Wins-Hydropower-Contract-for-150-MW-Tussa-II-Plant.html,"Aker Solutions has been awarded a sizeable contract by Tussa Energi to supply all electromechanical equipment for the Tussa II hydropower plant, a 150 MW facility that will…",2026-06-29,2026-06-30T16:24:23.729718+00:00
OilPrice,Alfa Laval,Alfa Laval Lands Record Order for Acelen's Brazil SAF Biorefinery,https://oilprice.com/Company-News/Alfa-Laval-Lands-Record-Order-for-Acelens-Brazil-SAF-Biorefinery.html,Alfa Laval has secured a SEK 1.1 billion (€102 million) contract from Acelen to supply hydrotreated vegetable oil (HVO) pre-treatment technology for a major renewable fuels biorefinery…,2026-06-29,2026-06-30T16:24:23.730227+00:00
OilPrice,Fermi America,Fermi Selects TSK to Advance Engineering for Texas Power Project,https://oilprice.com/Company-News/Fermi-Selects-TSK-to-Advance-Engineering-for-Texas-Power-Project.html,"Fermi America has selected Spanish engineering, procurement, and construction (EPC) contractor TSK to provide early works engineering and project management services for three Siemens SGT6-5000F gas turbines that…",2026-06-26,2026-06-30T16:24:23.730713+00:00
OilPrice,Equinor,Equinor Advances Wisting Project With Environmental Review Proposal,https://oilprice.com/Company-News/Equinor-Advances-Wisting-Project-With-Environmental-Review-Proposal.html,"Equinor and its partners have submitted the proposed environmental impact assessment (EIA) program for the Wisting oil field to Norwegian authorities for a 16-week public consultation, marking another…",2026-06-25,2026-06-30T16:24:23.731284+00:00
OilPrice,Petrobras,Petrobras' Búzios Oil Field Sets New Output Record at 1.1 Million Bpd,https://oilprice.com/Company-News/Petrobras-Bzios-Oil-Field-Sets-New-Output-Record-at-11-Million-Bpd.html,"Petrobras said its flagship Búzios field in Brazil's Santos Basin pre-salt province has reached a record average daily production of 1.1 million barrels of oil, surpassing the…",2026-06-25,2026-06-30T16:24:23.731754+00:00
OilPrice,TotalEnergies,TotalEnergies Takes 10% Stake in Abu Dhabi's Bab Gas Cap Project,https://oilprice.com/Company-News/TotalEnergies-Takes-10-Stake-in-Abu-Dhabis-Bab-Gas-Cap-Project.html,"French energy major TotalEnergies has signed an agreement to acquire a 10% interest in the Bab Gas Cap Concession in Abu Dhabi, strengthening its long-standing partnership with…",2026-06-24,2026-06-30T16:24:23.732286+00:00
OilPrice,TotalEnergies,Total Energies' CEO: Bypassing Hormuz Is Now an ‘Absolute Priority’,https://oilprice.com/Company-News/Total-Energies-CEO-Bypassing-Hormuz-Is-Now-an-Absolute-Priority.html,"The months-long disruption of shipping through the Strait of Hormuz is forcing a fundamental rethink of global energy infrastructure, according to TotalEnergies CEO Patrick Pouyanné,…",2026-06-24,2026-06-30T16:24:23.732801+00:00
OilPrice,Stegra,Stegra Closes €1.4 Billion Funding Round for Green Steel Project,https://oilprice.com/Company-News/Stegra-Closes-14-Billion-Funding-Round-for-Green-Steel-Project.html,"Stegra has completed a €1.4 billion equity financing round, securing fresh backing from a consortium led by Wallenberg Investments as the company continues construction of its flagship low-carbon…",2026-06-24,2026-06-30T16:24:23.733281+00:00
OilPrice,Saipem,Saipem Sells Saudi Jack-Up Drilling Business to ADES for $285 Million,https://oilprice.com/Company-News/Saipem-Sells-Saudi-Jack-Up-Drilling-Business-to-ADES-for-285-Million.html,"Saipem has signed a binding agreement to sell its Saudi Arabian shallow-water drilling subsidiary to ADES Holding for $285 million, marking another step in the Italian energy services…",2026-06-24,2026-06-30T16:24:23.733726+00:00
OilPrice,"Tesla, NatPower",NatPower and Tesla Strike 25 GWh European Battery Storage Deal,https://oilprice.com/Company-News/NatPower-and-Tesla-Strike-25-GWh-European-Battery-Storage-Deal.html,"NatPower has signed a multi-year agreement with Tesla covering the supply and deployment of more than 25 gigawatt-hours of battery energy storage systems across European markets, with initial…",2026-06-23,2026-06-30T16:24:23.734197+00:00
OilPrice,Chevron,Chevron Signs 20-Year Power Deal With Microsoft for Massive Texas AI Hub,https://oilprice.com/Company-News/Chevron-Signs-20-Year-Power-Deal-With-Microsoft-for-Massive-Texas-AI-Hub.html,Chevron has secured a long-term power supply agreement with Microsoft that could position the oil major at the center of the rapidly expanding artificial intelligence infrastructure market.,2026-06-22,2026-06-30T16:24:23.734635+00:00
OilPrice,Santos,Santos Starts Continuous Oil Production at Alaska’s Pikka Project,https://oilprice.com/Company-News/Santos-Starts-Continuous-Oil-Production-at-Alaskas-Pikka-Project.html,"Santos has started continuous production operations at the Pikka Phase 1 oil project on Alaska’s North Slope, marking a key milestone for one of the largest new oil…",2026-06-22,2026-06-30T16:24:23.735116+00:00
OilPrice,Iluka Resources,Iluka Lands First Rare Earths Offtake Deal With Global Automaker,https://oilprice.com/Company-News/Iluka-Lands-First-Rare-Earths-Offtake-Deal-With-Global-Automaker.html,"Iluka Resources has signed its first binding rare earths offtake agreement with a global automotive company, marking a significant milestone for the Australian miner's push into the critical minerals…",2026-06-22,2026-06-30T16:24:23.735572+00:00
OilPrice,"NOVVA Group, ABO Energy",Novva Expands Into Colombia With Acquisition of 37.8 MW Solar Portfolio,https://oilprice.com/Company-News/Novva-Expands-Into-Colombia-With-Acquisition-of-378-MW-Solar-Portfolio.html,"NOVVA Group has signed a definitive agreement to acquire a portfolio of three solar projects in Colombia from German renewable energy developer ABO Energy, further expanding the company's…",2026-06-22,2026-06-30T16:24:23.736035+00:00
OilPrice,Equinor,Equinor Expands Troll Gas Output With New North Sea Subsea Project,https://oilprice.com/Company-News/Equinor-Expands-Troll-Gas-Output-With-New-North-Sea-Subsea-Project.html,"Equinor and its partners have approved a new subsea gas development at the Troll field in the North Sea, committing more than NOK 4 billion ($390 million) to…",2026-06-22,2026-06-30T16:24:23.736476+00:00
